"Date","Price","Open","High","Low","Vol.","Change %"
"2024-01-21","5.3340","5.3520","5.3630","5.2825","","-0.40%"
"2024-01-14","5.3556","5.3445","5.3591","5.3127","","0.24%"
"2024-01-07","5.3430","5.3487","5.3679","5.3302","","0.03%"
"2023-12-31","5.3415","5.3568","5.3903","5.3374","","-0.29%"
"2023-12-24","5.3568","5.3746","5.4229","5.3528","","-0.28%"
"2023-12-17","5.3717","5.3258","5.3949","5.3162","","0.99%"
"2023-12-10","5.3190","5.2734","5.3314","5.2676","","0.90%"
"2023-12-03","5.2715","5.2847","5.2953","5.2503","","-0.32%"
"2023-11-26","5.2882","5.2426","5.2927","5.2333","","0.89%"
"2023-11-19","5.2414","5.2582","5.2603","5.1930","","-0.26%"
"2023-11-12","5.2551","5.2816","5.3077","5.2451","","-0.49%"
"2023-11-05","5.2808","5.3405","5.3464","5.2599","","-1.19%"
"2023-10-29","5.3444","5.2766","5.3528","5.2636","","1.34%"
"2023-10-22","5.2739","5.3351","5.3525","5.2705","","-1.11%"
"2023-10-15","5.3332","5.3434","5.3726","5.3210","","-0.26%"
"2023-10-08","5.3473","5.3374","5.3756","5.3283","","0.08%"
"2023-10-01","5.3428","5.3791","5.3854","5.2948","","-0.64%"
"2023-09-24","5.3771","5.4164","5.4412","5.3735","","-0.63%"
"2023-09-17","5.4111","5.3793","5.4478","5.3761","","0.59%"
"2023-09-10","5.3793","5.3866","5.3928","5.3428","","-0.05%"
"2023-09-03","5.3822","5.3379","5.3960","5.3371","","0.80%"
"2023-08-27","5.3395","5.3576","5.3890","5.3324","","-0.32%"
"2023-08-20","5.3564","5.3731","5.4036","5.3434","","-0.30%"
"2023-08-13","5.3727","5.3857","5.4171","5.3668","","-0.20%"
"2023-08-06","5.3836","5.3620","5.3924","5.3435","","0.41%"
"2023-07-30","5.3616","5.4023","5.4329","5.3544","","-0.59%"
"2023-07-23","5.3933","5.4350","5.4638","5.3925","","-0.74%"
"2023-07-16","5.4337","5.4028","5.5018","5.3954","","0.58%"
"2023-07-09","5.4024","5.4400","5.4607","5.3975","","-0.68%"
"2023-07-02","5.4392","5.4756","5.4781","5.4047","","-0.69%"
"2023-06-25","5.4768","5.4432","5.5072","5.4428","","0.61%"
"2023-06-18","5.4436","5.3958","5.4626","5.3913","","0.85%"
"2023-06-11","5.3978","5.3424","5.4068","5.3358","","1.07%"
"2023-06-04","5.3408","5.2726","5.3539","5.2691","","1.25%"
"2023-05-28","5.2750","5.1922","5.2823","5.1850","","1.70%"
"2023-05-21","5.1869","5.1896","5.2349","5.1686","","-0.04%"
"2023-05-14","5.1889","5.1294","5.2268","5.1271","","1.07%"
"2023-05-07","5.1339","5.1621","5.1942","5.1283","","-0.62%"
"2023-04-30","5.1660","5.1023","5.1675","5.0643","","1.32%"
"2023-04-23","5.0989","5.0890","5.1053","5.0631","","0.19%"
"2023-04-16","5.0894","5.1407","5.1491","5.0797","","-0.97%"
"2023-04-09","5.1392","5.0781","5.1528","5.0758","","1.10%"
"2023-04-02","5.0833","5.0803","5.1336","5.0762","","0.05%"
"2023-03-26","5.0807","4.9975","5.0869","4.9967","","1.71%"
"2023-03-19","4.9953","5.0160","5.0375","4.9638","","-0.37%"
"2023-03-12","5.0138","4.9946","5.0399","4.9706","","0.46%"
"2023-03-05","4.9906","5.0786","5.1022","4.9838","","-1.73%"
"2023-02-26","5.0782","5.1087","5.1280","5.0299","","-0.59%"
"2023-02-19","5.1083","5.0947","5.1208","5.0697","","0.25%"
"2023-02-12","5.0958","5.1000","5.1333","5.0805","","-0.11%"
"2023-02-05","5.1012","5.0581","5.1031","5.0336","","0.93%"
"2023-01-29","5.0543","5.0946","5.0992","5.0143","","-0.79%"
"2023-01-22","5.0946","5.0669","5.0992","5.0499","","0.52%"
"2023-01-15","5.0680","5.0011","5.0718","4.9882","","1.35%"
"2023-01-08","5.0007","5.0848","5.0946","4.9899","","-1.65%"
"2023-01-01","5.0848","5.0891","5.1128","5.0182","","-0.08%"
"2022-12-25","5.0891","5.1333","5.1714","5.0771","","-0.94%"
"2022-12-18","5.1375","5.0956","5.1519","5.0911","","1.00%"
"2022-12-11","5.0867","5.1011","5.1632","5.0852","","-0.15%"
"2022-12-04","5.0944","5.2124","5.2326","5.0806","","-2.22%"
"2022-11-27","5.2101","5.3468","5.3743","5.1904","","-2.71%"
"2022-11-20","5.3552","5.3180","5.3750","5.3049","","0.71%"
"2022-11-13","5.3176","5.3606","5.3769","5.2784","","-0.79%"
"2022-11-06","5.3602","5.3028","5.4142","5.3016","","0.59%"
"2022-10-30","5.3287","5.3245","5.3870","5.2877","","-0.01%"
"2022-10-23","5.3292","5.3036","5.3663","5.2607","","0.42%"
"2022-10-16","5.3071","5.1805","5.3117","5.1783","","2.50%"
"2022-10-09","5.1779","5.1787","5.2331","5.1425","","0.02%"
"2022-10-02","5.1768","5.1484","5.2677","5.1435","","0.65%"
"2022-09-25","5.1435","5.2428","5.2922","5.1391","","-1.89%"
"2022-09-18","5.2428","5.2603","5.2961","5.2091","","-0.37%"
"2022-09-11","5.2623","5.3163","5.3473","5.2473","","-0.97%"
"2022-09-04","5.3139","5.2544","5.3310","5.2436","","1.19%"
"2022-08-28","5.2516","5.2736","5.3269","5.2248","","-0.36%"
"2022-08-21","5.2708","5.2442","5.3151","5.2398","","0.50%"
"2022-08-14","5.2446","5.2800","5.2895","5.2317","","-0.63%"
"2022-08-07","5.2779","5.2271","5.2965","5.2194","","0.97%"
"2022-07-31","5.2271","5.2620","5.2919","5.2056","","-0.82%"
"2022-07-24","5.2703","5.2253","5.2752","5.2128","","0.86%"
"2022-07-17","5.2253","5.1873","5.2667","5.1839","","0.80%"
"2022-07-10","5.1838","5.1687","5.1966","5.1150","","0.29%"
"2022-07-03","5.1687","5.1982","5.2148","5.1273","","-0.61%"
"2022-06-26","5.2002","5.1855","5.2251","5.1708","","0.28%"
"2022-06-19","5.1855","5.1531","5.1894","5.1282","","0.61%"
"2022-06-12","5.1543","5.2469","5.2699","5.1307","","-1.76%"
"2022-06-05","5.2469","5.2892","5.3379","5.2352","","-0.77%"
"2022-05-29","5.2875","5.2603","5.3056","5.2267","","0.47%"
"2022-05-22","5.2628","5.2099","5.2874","5.1663","","0.99%"
"2022-05-15","5.2111","5.2514","5.2866","5.1994","","-0.87%"
"2022-05-08","5.2567","5.1631","5.2636","5.1458","","1.81%"
"2022-05-01","5.1631","5.1460","5.2108","5.1157","","0.48%"
"2022-04-24","5.1384","5.1161","5.2040","5.0972","","0.50%"
"2022-04-17","5.1129","5.0499","5.1755","5.0313","","1.25%"
"2022-04-10","5.0499","5.0597","5.0880","5.0189","","-0.19%"
"2022-04-03","5.0597","5.0811","5.1294","5.0388","","-0.42%"
"2022-03-27","5.0811","5.1008","5.1108","5.0545","","-0.40%"
"2022-03-20","5.1016","5.0459","5.1065","5.0328","","1.10%"
"2022-03-13","5.0459","4.9736","5.0523","4.9453","","1.45%"
"2022-03-06","4.9736","4.9621","4.9931","4.8960","","0.23%"
"2022-02-27","4.9621","4.9490","5.0194","4.9226","","-0.16%"
"2022-02-20","4.9700","4.9601","4.9803","4.9129","","0.21%"
"2022-02-13","4.9597","4.9851","5.0053","4.9558","","-0.58%"
"2022-02-06","4.9886","4.9615","5.0270","4.9615","","0.14%"
"2022-01-30","4.9816","4.9824","5.0277","4.9726","","-0.02%"
"2022-01-23","4.9824","5.0366","5.0458","4.9666","","-1.08%"
"2022-01-16","5.0366","5.0589","5.0961","5.0338","","-0.44%"
"2022-01-09","5.0589","5.0410","5.1060","5.0198","","0.34%"
"2022-01-02","5.0418","5.0274","5.0478","4.9696","","0.31%"
"2021-12-26","5.0262","4.9693","5.0326","4.9562","","1.16%"
"2021-12-19","4.9686","4.9440","4.9800","4.9168","","0.51%"
"2021-12-12","4.9432","5.0043","5.0098","4.9206","","-1.24%"
"2021-12-05","5.0051","4.9698","5.0377","4.9611","","0.84%"
"2021-11-28","4.9633","4.9964","5.0255","4.9568","","-0.69%"
"2021-11-21","4.9980","5.0549","5.0549","4.9933","","-1.06%"
"2021-11-14","5.0517","5.0822","5.1087","5.0429","","-0.64%"
"2021-11-07","5.0842","5.1332","5.1535","5.0593","","-1.00%"
"2021-10-31","5.1357","5.1670","5.1791","5.1255","","-0.65%"
"2021-10-24","5.1691","5.1612","5.1940","5.1384","","0.17%"
"2021-10-17","5.1604","5.2009","5.2106","5.1516","","-0.78%"
"2021-10-10","5.2009","5.1635","5.2127","5.1564","","0.68%"
"2021-10-03","5.1660","5.0946","5.1745","5.0926","","1.40%"
"2021-09-26","5.0946","5.1086","5.1273","5.0586","","-0.27%"
"2021-09-19","5.1086","5.0650","5.1155","5.0128","","0.90%"
"2021-09-12","5.0630","5.0788","5.1120","5.0611","","-0.27%"
"2021-09-05","5.0768","5.1515","5.1571","5.0596","","-1.42%"
"2021-08-29","5.1499","5.1264","5.1611","5.1014","","0.51%"
"2021-08-22","5.1236","5.0700","5.1475","5.0617","","1.07%"
"2021-08-15","5.0692","5.1740","5.1765","5.0159","","-2.03%"
"2021-08-08","5.1744","5.1641","5.1876","5.1472","","0.22%"
"2021-08-01","5.1629","5.1766","5.1887","5.1399","","-0.32%"
"2021-07-25","5.1795","5.1582","5.2011","5.1475","","0.41%"
"2021-07-18","5.1582","5.1368","5.1628","5.0632","","0.42%"
"2021-07-11","5.1364","5.2064","5.2064","5.1180","","-1.30%"
"2021-07-04","5.2039","5.2529","5.2572","5.1484","","-0.92%"
"2021-06-27","5.2520","5.2497","5.2584","5.1953","","0.07%"
"2021-06-20","5.2484","5.1757","5.2838","5.1740","","1.40%"
"2021-06-13","5.1761","5.2648","5.2777","5.1690","","-1.61%"
"2021-06-06","5.2609","5.2948","5.3055","5.2518","","-0.57%"
"2021-05-30","5.2908","5.2745","5.3138","5.2621","","0.32%"
"2021-05-23","5.2741","5.3336","5.3365","5.2516","","-1.06%"
"2021-05-16","5.3305","5.3196","5.3503","5.2978","","0.25%"
"2021-05-09","5.3170","5.2895","5.3466","5.2838","","0.32%"
"2021-05-02","5.3000","5.2665","5.3209","5.2396","","0.65%"
"2021-04-25","5.2656","5.2027","5.2742","5.1984","","1.16%"
"2021-04-18","5.2052","5.2183","5.2209","5.1324","","-0.15%"
"2021-04-11","5.2129","5.2271","5.2321","5.1841","","-0.28%"
"2021-04-04","5.2275","5.2191","5.2513","5.1759","","0.18%"
"2021-03-28","5.2179","5.2013","5.2412","5.1818","","0.33%"
"2021-03-21","5.2005","5.2044","5.2157","5.1699","","-0.09%"
"2021-03-14","5.2052","5.2178","5.2541","5.1882","","-0.22%"
"2021-03-07","5.2169","5.1299","5.2228","5.1275","","1.66%"
"2021-02-28","5.1315","5.0872","5.1447","5.0801","","1.02%"
"2021-02-21","5.0797","5.1133","5.1775","5.0757","","-0.74%"
"2021-02-14","5.1177","5.0836","5.1259","5.0629","","0.69%"
"2021-02-07","5.0828","5.0641","5.0981","5.0390","","0.26%"
"2021-01-31","5.0697","5.0278","5.0713","5.0109","","0.85%"
"2021-01-24","5.0270","5.0947","5.1046","5.0070","","-1.19%"
"2021-01-17","5.0875","5.0879","5.1307","5.0671","","0.00%"
"2021-01-10","5.0875","5.1012","5.1276","5.0485","","-0.32%"
"2021-01-03","5.1036","5.1273","5.1317","5.0435","","-0.42%"
"2020-12-27","5.1253","5.0830","5.1442","5.0738","","0.86%"
"2020-12-20","5.0818","5.1025","5.1110","5.0567","","-0.56%"
"2020-12-13","5.1105","5.1233","5.1535","5.1049","","-0.26%"
"2020-12-06","5.1237","5.1088","5.1495","5.0910","","0.32%"
"2020-11-29","5.1076","5.0599","5.1128","5.0538","","0.96%"
"2020-11-22","5.0591","5.0109","5.0731","5.0090","","1.02%"
"2020-11-15","5.0082","5.0258","5.0409","4.9918","","-0.39%"
"2020-11-08","5.0277","5.0570","5.1218","5.0124","","-0.64%"
"2020-11-01","5.0601","5.0247","5.0981","5.0044","","0.73%"
"2020-10-25","5.0236","5.0874","5.1015","5.0093","","-1.36%"
"2020-10-18","5.0928","5.0748","5.0945","5.0459","","0.32%"
"2020-10-11","5.0767","5.0969","5.1482","5.0635","","-0.47%"
"2020-10-04","5.1008","5.1036","5.1516","5.0818","","0.01%"
"2020-09-27","5.1005","5.0956","5.1174","5.0729","","0.10%"
"2020-09-20","5.0956","5.1296","5.1362","5.0806","","-0.56%"
"2020-09-13","5.1242","5.1808","5.1926","5.1081","","-1.18%"
"2020-09-06","5.1852","5.2401","5.2409","5.1610","","-0.99%"
"2020-08-30","5.2373","5.2386","5.2591","5.1990","","-0.05%"
"2020-08-23","5.2398","5.2460","5.2634","5.2188","","-0.18%"
"2020-08-16","5.2492","5.2418","5.2631","5.2258","","0.22%"
"2020-08-09","5.2378","5.2070","5.2635","5.1992","","0.64%"
"2020-08-02","5.2047","5.2036","5.2488","5.1886","","0.13%"
"2020-07-26","5.1982","5.2222","5.2512","5.1882","","-0.58%"
"2020-07-19","5.2285","5.1485","5.2456","5.1391","","1.56%"
"2020-07-12","5.1482","5.1486","5.1837","5.1339","","0.01%"
"2020-07-05","5.1478","5.2137","5.2175","5.1354","","-1.29%"
"2020-06-28","5.2152","5.1748","5.2164","5.1610","","0.90%"
"2020-06-21","5.1687","5.1987","5.2377","5.1589","","-0.53%"
"2020-06-14","5.1960","5.2082","5.2460","5.1834","","-0.28%"
"2020-06-07","5.2108","5.2732","5.3022","5.1679","","-1.18%"
"2020-05-31","5.2732","5.1761","5.2915","5.1686","","1.79%"
"2020-05-24","5.1803","5.0910","5.2170","5.0885","","1.78%"
"2020-05-17","5.0899","5.0353","5.1190","5.0292","","1.15%"
"2020-05-10","5.0321","5.0744","5.0927","5.0185","","-0.90%"
"2020-05-03","5.0780","5.0161","5.0862","4.9881","","1.33%"
"2020-04-26","5.0115","5.0190","5.0998","5.0030","","-0.17%"
"2020-04-19","5.0201","5.0475","5.0475","4.9702","","-0.59%"
"2020-04-12","5.0501","5.0434","5.0881","4.9896","","0.23%"
"2020-04-05","5.0387","4.9946","5.0540","4.9711","","0.93%"
"2020-03-29","4.9921","5.0695","5.0698","4.9355","","-1.61%"
"2020-03-22","5.0738","4.9439","5.0957","4.8586","","2.74%"
"2020-03-15","4.9384","5.0611","5.0991","4.8078","","-2.65%"
"2020-03-08","5.0729","5.1469","5.1473","5.0033","","-1.72%"
"2020-03-01","5.1615","5.2118","5.2324","5.1521","","-1.05%"
"2020-02-23","5.2165","5.3019","5.3079","5.1861","","-1.77%"
"2020-02-16","5.3107","5.2712","5.3215","5.2651","","0.75%"
"2020-02-09","5.2712","5.2610","5.2784","5.2345","","0.24%"
"2020-02-02","5.2586","5.2398","5.3044","5.2325","","0.35%"
"2020-01-26","5.2402","5.2768","5.2768","5.2326","","-0.69%"
"2020-01-19","5.2768","5.2498","5.2938","5.2345","","0.51%"
"2020-01-12","5.2502","5.2998","5.3014","5.2446","","-0.94%"
"2020-01-05","5.2998","5.3634","5.3819","5.2875","","-1.06%"
"2019-12-29","5.3564","5.3498","5.3814","5.3306","","0.15%"
"2019-12-22","5.3482","5.3280","5.3547","5.2999","","0.38%"
"2019-12-15","5.3280","5.3024","5.3456","5.2963","","0.46%"
"2019-12-08","5.3036","5.3061","5.3475","5.2864","","-0.04%"
"2019-12-01","5.3057","5.2939","5.3527","5.2860","","0.21%"
"2019-11-24","5.2947","5.2916","5.3003","5.2768","","0.06%"
"2019-11-17","5.2916","5.2987","5.3598","5.2719","","-0.13%"
"2019-11-10","5.2987","5.2907","5.3057","5.2818","","0.20%"
"2019-11-03","5.2879","5.3573","5.3589","5.2785","","-1.27%"
"2019-10-27","5.3557","5.4078","5.4175","5.3350","","-0.99%"
"2019-10-20","5.4094","5.3934","5.4168","5.3781","","0.30%"
"2019-10-13","5.3934","5.3688","5.3971","5.3342","","0.46%"
"2019-10-06","5.3688","5.3682","5.3819","5.3322","","0.02%"
"2019-09-29","5.3678","5.3758","5.4129","5.3541","","-0.15%"
"2019-09-22","5.3758","5.3488","5.3885","5.3403","","0.55%"
"2019-09-15","5.3464","5.3496","5.3586","5.3218","","0.40%"
"2019-09-08","5.3251","5.3998","5.4197","5.3239","","-1.37%"
"2019-09-01","5.3993","5.3735","5.4178","5.3587","","0.48%"
"2019-08-25","5.3735","5.3345","5.4154","5.3245","","0.65%"
"2019-08-18","5.3386","5.3050","5.3418","5.2848","","0.64%"
"2019-08-11","5.3046","5.3381","5.3483","5.2677","","-0.66%"
"2019-08-04","5.3398","5.2526","5.3511","5.2494","","1.64%"
"2019-07-28","5.2534","5.2229","5.2570","5.2063","","0.56%"
"2019-07-21","5.2240","5.2665","5.2773","5.2091","","-0.82%"
"2019-07-14","5.2673","5.2766","5.2849","5.2458","","-0.21%"
"2019-07-07","5.2786","5.2723","5.2828","5.2261","","0.19%"
"2019-06-30","5.2687","5.2449","5.2764","5.2118","","0.49%"
"2019-06-23","5.2429","5.1965","5.2592","5.1954","","0.95%"
"2019-06-16","5.1936","5.1662","5.2192","5.1513","","0.61%"
"2019-06-09","5.1619","5.2155","5.2319","5.1590","","-0.81%"
"2019-06-02","5.2040","5.1067","5.2109","5.1037","","1.89%"
"2019-05-26","5.1074","5.1368","5.1445","5.0895","","-0.51%"
"2019-05-19","5.1337","5.1396","5.1705","5.1211","","-0.13%"
"2019-05-12","5.1402","5.0848","5.1509","5.0753","","1.07%"
"2019-05-05","5.0859","5.0132","5.1009","4.9934","","1.37%"
"2019-04-28","5.0173","5.0011","5.0361","4.9919","","0.35%"
"2019-04-21","4.9998","5.0076","5.0342","4.9698","","-0.10%"
"2019-04-14","5.0046","5.0262","5.0466","5.0038","","-0.53%"
"2019-04-07","5.0314","5.0175","5.0541","5.0144","","0.25%"
"2019-03-31","5.0188","5.0262","5.0504","5.0127","","-0.18%"
"2019-03-24","5.0279","5.0018","5.0319","4.9917","","0.56%"
"2019-03-17","5.0001","5.0292","5.0670","4.9974","","-0.67%"
"2019-03-10","5.0337","5.0094","5.0578","4.9998","","0.50%"
"2019-03-03","5.0086","5.0448","5.0523","4.9845","","-0.68%"
"2019-02-24","5.0427","5.1084","5.1150","5.0381","","-1.28%"
"2019-02-17","5.1082","5.1151","5.1219","5.0736","","-0.03%"
"2019-02-10","5.1095","5.0730","5.1298","5.0730","","0.63%"
"2019-02-03","5.0773","5.1384","5.1548","5.0599","","-1.34%"
"2019-01-27","5.1462","5.1046","5.1621","5.0587","","0.87%"
"2019-01-20","5.1020","5.1168","5.1238","5.0686","","-0.16%"
"2019-01-13","5.1101","5.0995","5.1229","5.0796","","0.30%"
"2019-01-06","5.0947","5.1357","5.1765","5.0926","","-0.75%"
"2018-12-30","5.1333","5.0462","5.1374","5.0187","","1.84%"
"2018-12-23","5.0407","5.0788","5.0914","5.0256","","-0.70%"
"2018-12-16","5.0763","5.1623","5.1656","5.0768","","-1.58%"
"2018-12-09","5.1580","5.1611","5.1961","5.1384","","-0.02%"
"2018-12-02","5.1590","5.2501","5.2596","5.1165","","-1.36%"
"2018-11-25","5.2303","5.2511","5.2622","5.2046","","-0.33%"
"2018-11-18","5.2475","5.2776","5.2804","5.2088","","-0.53%"
"2018-11-11","5.2755","5.2721","5.2860","5.2396","","0.22%"
"2018-11-04","5.2640","5.2581","5.3012","5.2569","","0.18%"
"2018-10-28","5.2547","5.2972","5.3221","5.2516","","-0.78%"
"2018-10-21","5.2960","5.2913","5.3549","5.2787","","0.13%"
"2018-10-14","5.2890","5.3158","5.3530","5.2764","","-0.43%"
"2018-10-07","5.3119","5.3068","5.3540","5.2717","","0.07%"
"2018-09-30","5.3080","5.3239","5.3747","5.3017","","-0.24%"
"2018-09-23","5.3207","5.3096","5.3238","5.2621","","0.24%"
"2018-09-16","5.3077","5.2691","5.3159","5.2480","","0.75%"
"2018-09-09","5.2684","5.1955","5.2864","5.1925","","1.32%"
"2018-09-02","5.1998","5.2393","5.2393","5.1641","","-0.72%"
"2018-08-26","5.2377","5.2247","5.2927","5.2175","","0.31%"
"2018-08-19","5.2214","5.2657","5.2798","5.2201","","-0.78%"
"2018-08-12","5.2626","5.2076","5.2880","5.1963","","1.06%"
"2018-08-05","5.2075","5.2600","5.2821","5.2050","","-0.96%"
"2018-07-29","5.2578","5.2199","5.2906","5.2123","","0.80%"
"2018-07-22","5.2162","5.1535","5.2413","5.1390","","1.40%"
"2018-07-15","5.1440","5.0841","5.1653","5.0652","","1.22%"
"2018-07-08","5.0820","5.0741","5.1090","5.0282","","0.15%"
"2018-07-01","5.0746","5.0382","5.0922","5.0251","","0.72%"
"2018-06-24","5.0381","4.9003","5.0434","4.8903","","2.84%"
"2018-06-17","4.8988","4.8797","4.9071","4.8556","","0.48%"
"2018-06-10","4.8754","4.9387","4.9472","4.8733","","-1.56%"
"2018-06-03","4.9529","4.9574","4.9735","4.9028","","-0.06%"
"2018-05-27","4.9560","4.9275","5.0017","4.9138","","0.62%"
"2018-05-20","4.9255","4.9528","5.0022","4.9201","","-0.48%"
"2018-05-13","4.9494","4.9521","4.9931","4.9318","","-0.01%"
"2018-05-06","4.9498","4.9532","4.9852","4.9000","","0.01%"
"2018-04-29","4.9493","4.9342","4.9696","4.9036","","0.28%"
"2018-04-22","4.9357","4.9363","4.9402","4.9014","","0.06%"
"2018-04-15","4.9326","4.9780","5.0162","4.9307","","-0.79%"
"2018-04-08","4.9719","4.9369","5.0087","4.9239","","0.83%"
"2018-04-01","4.9308","4.8636","4.9527","4.8519","","1.38%"
"2018-03-25","4.8636","4.8990","4.9128","4.8580","","-0.62%"
"2018-03-18","4.8941","4.8372","4.9303","4.8236","","1.28%"
"2018-03-11","4.8324","4.9373","4.9465","4.8300","","-2.15%"
"2018-03-04","4.9384","4.9286","4.9448","4.8648","","0.30%"
"2018-02-25","4.9238","5.0117","5.0159","4.9123","","-1.79%"
"2018-02-18","5.0134","5.0583","5.0678","4.9809","","-0.75%"
"2018-02-11","5.0512","5.0035","5.0999","4.9983","","0.92%"
"2018-02-04","5.0052","5.0693","5.0813","4.9648","","-1.24%"
"2018-01-28","5.0679","5.1315","5.1457","5.0663","","-1.26%"
"2018-01-21","5.1327","5.1286","5.1752","5.1027","","0.19%"
"2018-01-14","5.1229","5.1832","5.2017","5.1195","","-1.21%"
"2018-01-07","5.1856","5.2266","5.2550","5.1424","","-0.80%"
"2017-12-31","5.2272","5.1726","5.2517","5.1715","","1.08%"
"2017-12-24","5.1715","5.1693","5.2042","5.1349","","0.17%"
"2017-12-17","5.1629","5.1337","5.1856","5.1068","","0.50%"
"2017-12-10","5.1374","5.1509","5.1999","5.1267","","-0.30%"
"2017-12-03","5.1529","5.2161","5.2400","5.1403","","-1.17%"
"2017-11-26","5.2138","5.1937","5.2183","5.1218","","0.46%"
"2017-11-19","5.1897","5.1903","5.2081","5.1641","","0.00%"
"2017-11-12","5.1896","5.2361","5.2421","5.1648","","-0.87%"
"2017-11-05","5.2349","5.2010","5.2453","5.1780","","0.70%"
"2017-10-29","5.1986","5.1891","5.2092","5.1185","","0.14%"
"2017-10-22","5.1911","5.2444","5.2621","5.1529","","-0.95%"
"2017-10-15","5.2411","5.2730","5.3243","5.2415","","-0.65%"
"2017-10-08","5.2755","5.3089","5.3123","5.2480","","-0.58%"
"2017-10-01","5.3065","5.3334","5.3458","5.2809","","-0.53%"
"2017-09-24","5.3346","5.3434","5.3863","5.3104","","-0.11%"
"2017-09-17","5.3403","5.3731","5.3921","5.3060","","-0.56%"
"2017-09-10","5.3702","5.3309","5.4067","5.3285","","0.78%"
"2017-09-03","5.3285","5.2889","5.3790","5.2500","","0.78%"
"2017-08-27","5.2873","5.3305","5.3348","5.2109","","-0.71%"
"2017-08-20","5.3249","5.3077","5.3356","5.2857","","0.49%"
"2017-08-13","5.2987","5.2596","5.3137","5.2305","","0.84%"
"2017-08-06","5.2546","5.3197","5.3284","5.2133","","-1.16%"
"2017-07-30","5.3163","5.4128","5.4198","5.3117","","-1.85%"
"2017-07-23","5.4167","5.3969","5.4405","5.3621","","0.40%"
"2017-07-16","5.3953","5.3583","5.4043","5.3222","","0.70%"
"2017-07-09","5.3576","5.2845","5.3600","5.2452","","1.36%"
"2017-07-02","5.2858","5.2301","5.2927","5.2225","","1.06%"
"2017-06-25","5.2303","5.1525","5.2381","5.1449","","1.50%"
"2017-06-18","5.1531","5.1538","5.1799","5.1162","","-0.03%"
"2017-06-11","5.1547","5.0507","5.1616","5.0461","","2.14%"
"2017-06-04","5.0468","5.0467","5.0648","5.0214","","-0.11%"
"2017-05-28","5.0525","5.0979","5.1063","5.0271","","-0.90%"
"2017-05-21","5.0984","5.0934","5.1437","5.0814","","0.07%"
"2017-05-14","5.0948","5.0374","5.0967","5.0271","","1.24%"
"2017-05-07","5.0324","5.0526","5.0621","5.0140","","-0.47%"
"2017-04-30","5.0564","5.0457","5.0606","4.9986","","0.14%"
"2017-04-23","5.0494","5.1177","5.1364","5.0325","","-1.01%"
"2017-04-16","5.1009","5.1678","5.1860","5.0911","","-1.27%"
"2017-04-09","5.1667","5.1481","5.2081","5.1416","","0.38%"
"2017-04-02","5.1472","5.1757","5.1769","5.1170","","-0.48%"
"2017-03-26","5.1722","5.1465","5.1907","5.1240","","0.52%"
"2017-03-19","5.1453","5.1741","5.1918","5.1350","","-0.50%"
"2017-03-12","5.1711","5.1333","5.2078","5.1238","","0.82%"
"2017-03-05","5.1292","5.1588","5.1605","5.1057","","-0.52%"
"2017-02-26","5.1560","5.2394","5.2522","5.1326","","-1.74%"
"2017-02-19","5.2472","5.2408","5.2607","5.2081","","0.10%"
"2017-02-12","5.2420","5.2559","5.2725","5.2304","","-0.31%"
"2017-02-05","5.2582","5.2720","5.2769","5.2099","","-0.32%"
"2017-01-29","5.2750","5.2331","5.3061","5.2244","","0.82%"
"2017-01-22","5.2322","5.1622","5.2760","5.1412","","1.35%"
"2017-01-15","5.1625","5.2639","5.2662","5.1349","","-1.90%"
"2017-01-08","5.2623","5.2271","5.2935","5.2176","","0.65%"
"2017-01-01","5.2285","5.1700","5.2519","5.1619","","1.13%"
"2016-12-25","5.1703","5.1330","5.1826","5.1163","","0.75%"
"2016-12-18","5.1318","5.2186","5.2265","5.1235","","-1.68%"
"2016-12-11","5.2193","5.2529","5.2801","5.1759","","-0.42%"
"2016-12-04","5.2414","5.1798","5.2533","5.1561","","1.18%"
"2016-11-27","5.1802","5.1193","5.1970","5.1120","","1.29%"
"2016-11-20","5.1144","5.1033","5.1509","5.0966","","0.24%"
"2016-11-13","5.1024","5.0407","5.1319","5.0202","","1.44%"
"2016-11-06","5.0301","5.0411","5.1185","4.9958","","-0.21%"
"2016-10-30","5.0407","5.0606","5.0716","5.0183","","-0.37%"
"2016-10-23","5.0595","5.0762","5.1040","5.0463","","-0.28%"
"2016-10-16","5.0736","5.1213","5.1817","5.0662","","-0.92%"
"2016-10-09","5.1208","5.0329","5.1357","5.0281","","2.07%"
"2016-10-02","5.0170","5.0846","5.1056","5.0110","","-1.27%"
"2016-09-25","5.0816","5.0651","5.1174","5.0233","","0.33%"
"2016-09-18","5.0649","5.0497","5.1303","5.0341","","0.25%"
"2016-09-11","5.0522","5.1211","5.1288","5.0365","","-1.29%"
"2016-09-04","5.1181","5.1418","5.2027","5.1152","","-0.42%"
"2016-08-28","5.1396","5.1327","5.1471","5.0803","","0.17%"
"2016-08-21","5.1311","5.1696","5.2005","5.1276","","-0.73%"
"2016-08-14","5.1687","5.1209","5.1966","5.1126","","0.86%"
"2016-08-07","5.1246","5.0509","5.1368","5.0455","","1.38%"
"2016-07-31","5.0550","5.0967","5.1113","5.0420","","-0.71%"
"2016-07-24","5.0914","5.0838","5.1059","5.0313","","0.06%"
"2016-07-17","5.0884","5.1688","5.1875","5.0652","","-1.33%"
